Coin,Open($),High($),Low($),Close($),Volum($),Market_cap($)
bitcoin,52726.75,53392.39,50856.57,51704.16,67999812841,965028762666
ethereum,1593.12,1625.91,1560.37,1595.36,29650328701,183786054252
tether,1.0,1.0,0.9997,1.0,97273950074,40329456619
binance-coin,249.47,250.14,227.29,234.89,2314734091,36297499650
cardano,1.07,1.15,1.06,1.1,5732698268,35193427842
polkadot-new,30.36,31.23,28.67,29.98,3433822540,27682831356
xrp,0.4882,0.5274,0.4711,0.5175,6061921454,23496509077
uniswap,27.44,27.89,25.72,26.68,926532573,13923601360
theta,11.31,13.38,10.51,13.17,1946579090,13166656781
litecoin,177.59,179.13,169.64,173.06,3429325350,11548812450
chainlink,25.03,26.63,24.62,25.7,1351900684,10651356491
usd-coin,1.0,1.0,1.0,1.0,1646557726,10338431177
bitcoin-cash,480.02,485.11,460.62,478.29,2428634157,8939090247
stellar,0.3684,0.3737,0.3503,0.3659,1066307446,8301377814
terra-luna,16.64,17.22,16.06,16.45,466380561,6587825014
wrapped-bitcoin,52774.75,53255.14,50844.94,51704.32,138305703,7135378967
klaytn,2.91,2.98,2.79,2.83,106863456,6924313424
dogecoin,0.0517,0.052410000000000005,0.0497,0.05145,1084214116,6632093766
filecoin,86.12,95.54,85.52,90.84,2890519323,5498278088
vechain,0.08517000000000001,0.08632000000000001,0.07701000000000001,0.0814,1194756884,5235491823
crypto-com-coin,0.2195,0.2206,0.2017,0.2066,274052147,5219432723
aave,322.13,339.01,316.22,328.22,318638405,4088868433
tron,0.05604,0.05634,0.05368,0.05562,2012758050,3985842339
iota,1.42,1.43,1.3,1.35,187851894,3748142800
monero,211.69,221.45,207.61,213.79,530304578,3820709579
cosmos,17.58,18.0,16.76,17.21,708851375,3648694735
solana,13.65,13.71,12.61,13.03,116277943,3479892567
kusama,424.28,433.99,373.21,412.7,566877084,3495614164
bitcoin-sv,194.7,197.01,187.97,193.84,948879637,3622475263
eos,3.72,3.79,3.61,3.7,2217667316,3519510564
avalanche,25.98,27.46,24.64,26.0,252605201,3322963744
binance-usd,1.0,1.0,1.0,1.0,4386998346,3289697389
bittorrent,0.003283,0.003418,0.003095,0.0032689999999999998,986467079,3236666163
ftx-token,34.24,34.56,31.9,32.77,84064101,3091850759
tezos,4.03,4.1,3.82,3.95,442346277,3015364867
nem,0.3431,0.3479,0.32299999999999995,0.3305,227260955,2974330947
multi-collateral-dai,1.0,1.01,0.9985,1.0,282784219,2942376138
chiliz,0.4919,0.5064,0.4652,0.486,868106318,2714976328
neo,39.91,41.04,38.08,38.93,732209968,2745990824
algorand,1.03,1.08,0.9881,1.05,371973364,2720201987
hedera-hashgraph,0.3046,0.3188,0.2899,0.3073,190282258,2371201631
elrond-egld,120.84,125.22,116.8,122.14,88411044,2099595400
huobi-token,12.57,12.7,12.17,12.36,504864764,2260241913
theta-fuel,0.3958,0.4391,0.3709,0.4187,362160544,2204920028
unus-sed-leo,2.1,2.16,2.08,2.12,1569652,2115331835
sushiswap,15.0,15.3,14.19,14.88,490130386,1893527873
pundi-x,0.007881,0.009029,0.0075060000000000005,0.00845,1640238107,1997358963
synthetix-network-token,16.17,16.69,15.58,16.2,108336624,1860432818
dash,192.21,196.27,183.59,189.77,724149733,1905486548
maker,1825.31,1931.61,1806.95,1890.32,109058791,1881323186
enjin-coin,2.22,2.26,2.06,2.13,408116713,1780786150
pancakeswap,12.1,12.89,11.26,11.98,414366187,1684454214
decred,148.41,150.59,143.81,147.43,16738521,1879370727
zilliqa,0.1585,0.163,0.1488,0.1552,218088564,1722041075
harmony,0.1988,0.2009,0.16699999999999998,0.1804,500237809,1676621123
the-graph,1.4,1.42,1.32,1.34,208841894,1670844550
compound,346.44,367.4,333.81,361.1,192838107,1694553562
